Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-09-2030 00:00:00,14944.691529167209,0.39375548589341697,1004.0362413194443,433.981,1800.3029999999999,0.0,0,3271.822,747.8786259039716,0,3111.235221582127,237.485,92.601,0,0.0,31718.50369868011
01-09-2030 01:00:00,14184.45701572041,6.0670488132557105,629.1951822916667,445.409,1401.8370000000002,0.0,0,3215.059,850.8469307500272,0,3107.3010973724886,237.512,91.87100000000001,0,0.0,29914.148991511625
01-09-2030 02:00:00,13848.38498765753,0.3616121809225258,271.90883246527784,439.741,1089.43,0.0,0,3204.567,162.03545051388937,0,3105.942792047211,239.7515,93.8165,0,0.0,28376.987447040286
01-09-2030 03:00:00,13416.373704040538,4.122378862516793,177.62300347222217,429.779,1113.104,0.0,0,3209.5240000000003,0.0,0,3110.871397779964,239.113,94.33,0,0.0,27412.608867707135
01-09-2030 04:00:00,12027.509672599714,1.4464487236901031,95.50809461805554,437.148,1262.866,0.0,0,3214.8590000000004,367.01249788951463,0,3112.20199170999,237.0675,94.7085,0,0.0,26837.913820829766
01-09-2030 05:00:00,11664.519436143952,3.1420080609046126,94.65768229166666,446.176,1229.1660000000002,0.0,0,3214.652,424.27270162156674,0,3112.7133116481664,237.6395,92.5685,0,0.0,26518.394451604465
01-09-2030 06:00:00,11160.305047421074,4.194701298701299,94.9810329861111,447.401,1100.713,0.0,0,3172.507,1351.9358656700078,0,3113.155353098216,237.3095,93.0295,0,0.0,26832.7788391464
01-09-2030 07:00:00,10612.653274002858,96.96831527093596,69.71764322916667,447.56,1300.999,0.0,0,3178.015,2086.1019129088545,0,3114.4680687087257,237.074,94.24700000000001,0,0.0,27383.49943156881
01-09-2030 08:00:00,10026.973197349616,2875.990068965517,36.19911024305556,450.97,1648.967,0.0,0,3208.363,306.00846551091854,0,3114.531089785022,236.53099999999998,94.025,0,0.0,28297.631985099877
01-09-2030 09:00:00,9124.507366506432,10273.289558441558,167.3210503472222,449.534,1977.378,0.0,0,3205.76,0.0,0,3114.804628073626,238.4985,93.8475,0,0.0,30722.404309684065
01-09-2030 10:00:00,8462.216012732233,16938.63777877295,2535.6482421875,447.792,1916.399,0.0,0,3177.33,0.0,0,3114.3518596318677,236.7395,94.3205,0,0.0,33023.26680127514
01-09-2030 11:00:00,8205.949831103027,21554.850307210032,5249.478884548612,447.94800000000004,1702.569,0.0,0,3180.908,0.0,0,3111.1695187579035,235.717,93.432,0,0.0,34221.089575129285
01-09-2030 12:00:00,7888.874230219566,24365.549287953425,6060.665538194444,446.029,1986.38,0.0,0,3168.33,0.0,0,3106.991355486862,238.7925,92.6975,0,0.0,34906.32970081141
01-09-2030 13:00:00,7475.949038586462,25727.203973130316,6222.0563368055555,441.92199999999997,2281.964,0.0,0,3169.3459999999995,0.0,0,3106.5484201208374,237.9835,91.5625,0,0.0,35790.79366788991
01-09-2030 14:00:00,7138.721794205535,25842.694867890732,6248.703667534722,424.64,2664.309,0.0,0,3146.263,0.0,0,3105.930724181537,237.9715,91.9615,0,-3259.2449100393433,35907.40057310781
01-09-2030 15:00:00,7375.117838118747,24627.50918763995,6183.626106770833,415.69300000000004,2493.355,0.0,0,3127.9109999999996,0.0,0,3103.3718897007166,228.3875,91.5395,0,-9575.840330697732,35121.154189867935
01-09-2030 16:00:00,7827.257827725089,21975.300807881773,6068.923914930555,440.759,2200.617,0.0,0,3140.218,0.0,0,3101.7109938176195,222.771,90.87799999999999,0,-7920.430965836958,34514.11831348555
01-09-2030 17:00:00,8259.166935169545,18224.29765517241,5682.8076171875,440.529,2255.245,0.0,0,3143.197,0.0,0,3098.7454275677956,234.1585,91.3955,0,-4823.857567976876,34261.55330157288
01-09-2030 18:00:00,8639.333194751202,12730.388077026422,5074.281011284723,442.82199999999995,3018.1890000000003,0.0,0,3150.982,0.0,0,3095.587222425179,232.5275,92.5325,0,-734.6129077871246,33854.83939533695
01-09-2030 19:00:00,8785.33460439132,5480.216530228393,3919.6021484375,446.213,3838.435,5512.946768198772,0,3200.5959999999995,0.0,0,3095.2980406069973,224.7315,92.0915,0,0.0,33535.17563792924
01-09-2030 20:00:00,9566.709159412758,492.1139991043439,2484.917751736111,447.87300000000005,3430.817,6837.0,0,3229.89,0.0,0,3096.7479723197976,231.7265,91.7225,0,0.0,33837.98809121445
01-09-2030 21:00:00,10682.614758997011,3.8652324227496644,1775.8614149305556,448.775,3946.61,6837.0,0,3233.784,0.0,0,3097.9400092735705,229.3555,92.2155,0,0.0,35307.66833228586
01-09-2030 22:00:00,11260.258366896194,5.038463054187192,1423.8198133680557,453.72,3426.796,973.0532318012265,0,3222.3320000000003,1390.6431671101182,0,3099.3148520444,219.7435,91.6165,0,0.0,33625.10682644625
