Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-08-2030 00:00:00,11839.887111861764,2.7000376175548593,5000.0,450.62699999999995,1977.7079999999999,0.0,0,3237.551,4790.58230064276,0,3103.6919116200647,266.7635,93.3285,0,0.0,32830.734361234354
01-08-2030 01:00:00,11997.096622060542,2.3062821316614417,5000.0,437.036,1529.471,0.0,0,3214.051,2964.427788054827,0,3103.3191486581427,271.535,93.044,0,0.0,30547.556944740703
01-08-2030 02:00:00,11251.994608288944,0.9160841916703986,5000.0,434.89300000000003,1582.2379999999998,0.0,0,3183.135,2255.8419855268585,0,3106.1488396796403,280.318,92.374,0,0.0,29048.130260843853
01-08-2030 03:00:00,10655.573522151488,4.138450515002239,5000.0,432.16,1486.06,0.0,0,3184.9829999999997,2101.2039030020787,0,3109.922059013629,283.2465,92.9305,0,0.0,28168.169223258083
01-08-2030 04:00:00,10598.406996232297,2.1857447380206003,5000.0,430.046,1457.319,0.0,0,3167.717,1940.539447729654,0,3109.5676213292118,277.41900000000004,93.52600000000001,0,0.0,27873.119758133234
01-08-2030 05:00:00,10598.89285435884,3.7607666815942675,5000.0,433.81,1400.7379999999998,0.0,0,3153.7059999999997,2087.739376649555,0,3115.1626414219477,280.57,93.664,0,0.0,27961.130725381183
01-08-2030 06:00:00,10084.323223333768,8.204578593819972,5000.0,437.816,1779.5870000000002,0.0,0,3153.44,4075.1880620763823,0,3119.1079395812844,281.147,90.589,0,0.0,29710.019136946634
01-08-2030 07:00:00,9664.437540600235,681.1005606806987,5000.0,441.876,2187.524,0.0,0,3190.926,5633.705676232576,0,3117.4403393283687,281.4485,93.7605,0,0.0,31907.92754608776
01-08-2030 08:00:00,8426.973574119787,5446.361594267802,5000.0,441.695,2800.9509999999996,0.0,0,3208.0370000000003,4346.837518363285,0,3117.363015596459,271.4115,94.7965,0,0.0,34922.75951884262
01-08-2030 09:00:00,7226.689223073926,12177.008938647557,5000.0,444.725,3656.672,0.0,0,3187.5820000000003,16.99950590845856,0,3116.831582548827,272.8365,91.1715,0,0.0,37773.58137986502
01-08-2030 10:00:00,6422.402182668573,17771.936888490818,575.0996991979027,442.676,4059.317,0.0,0,3176.9509999999996,0.0,0,3115.1635353379233,279.4435,89.3855,0,0.0,39575.015057480465
01-08-2030 11:00:00,5727.57928403272,19984.069692788868,0.0,437.973,4389.077,0.0,0,3196.2059999999997,0.0,0,3114.4890757341573,278.7825,91.2485,0,0.0,41175.432781553114
01-08-2030 12:00:00,5415.893239226041,21072.06481626915,0.0,433.11,4815.109,0.0,0,3204.652,0.0,0,3113.9040077279756,266.34,92.265,0,0.0,42468.98421256223
01-08-2030 13:00:00,5301.620666770492,21672.622068600693,0.0,433.17699999999996,5045.9490000000005,0.0,0,3239.965,0.0,0,3110.9759859491355,263.595,91.624,0,0.0,43257.226903981056
01-08-2030 14:00:00,5401.81005319699,21712.03566468715,0.0,433.01599999999996,4679.492,0.0,0,3254.8509999999997,0.0,0,3109.2650307713925,264.9645,90.5285,0,0.0,43003.95976914212
01-08-2030 15:00:00,5953.064142865082,20964.781685829956,0.0,430.793,4455.414000000001,0.0,0,3248.816,0.0,0,3106.9055395531827,263.807,90.441,0,0.0,42421.0625533829
01-08-2030 16:00:00,6496.631075777011,18644.563143125244,1687.8064708086968,430.95099999999996,4238.767,0.0,0,3254.553,0.0,0,3105.9740791063646,265.5685,90.1005,0,0.0,42042.321734134006
01-08-2030 17:00:00,6518.457777820126,14728.652109539376,5426.501425781251,430.981,4113.035,0.0,0,3277.59,0.0,0,3105.6612085148236,273.1065,89.5715,0,0.0,41687.93757335226
01-08-2030 18:00:00,7261.734110309986,11501.02328823947,5073.816679687501,420.56699999999995,4115.354,2416.6400424770945,0,3289.9990000000003,0.0,0,3108.414916678376,282.7065,90.3095,0,0.0,41182.56124027457
01-08-2030 19:00:00,7500.142066328564,6549.299176094597,4456.939218749998,429.87,4498.840999999999,6712.516129238944,0,3284.1079999999997,0.0,0,3109.3133022340867,282.302,90.355,0,0.0,40333.31029507479
01-08-2030 20:00:00,10055.8760762041,2441.732261882676,3263.0669003980965,439.61800000000005,4226.9890000000005,6837.0,0,3299.236,0.0,0,3111.363945482647,282.418,91.535,0,0.0,39479.85510574004
01-08-2030 21:00:00,12469.623885929583,103.56572861621137,3924.060549726162,441.03,3905.078,6837.0,0,3319.447,0.0,0,3113.497275958972,283.4655,91.4265,0,0.0,39651.900702937884
01-08-2030 22:00:00,14144.504047031312,2.58753605015674,5000.0,442.277,3627.837,3880.124429850577,0,3318.545,848.1966251668191,0,3113.3386058732617,271.5325,78.7175,0,0.0,39022.38025996325
01-08-2030 23:00:00,14477.3293750812,4.443811912225704,5000.0,438.538,3314.297,0.0,0,3311.415,4294.092950216353,0,3113.5236464802583,274.0455,80.9285,0,0.0,36439.65257220765
02-08-2030 00:00:00,13871.339177601663,2.7643242274966413,5000.0,440.30199999999996,2728.849,0.0,0,3241.188,3148.4445267078318,0,3116.404290712379,278.572,89.001,0,0.0,33773.50602763305
02-08-2030 01:00:00,13000.034994153564,1.9768132557098075,5000.0,443.264,1759.4579999999999,0.0,0,3230.952,2966.204960748164,0,3111.9440969509624,273.4055,85.0745,0,0.0,31559.893988084023
02-08-2030 02:00:00,11840.923470183188,0.8116184505150021,5000.0,430.702,1352.194,0.0,0,3214.365,2971.3308886421764,0,3110.7261364338906,281.20799999999997,90.63,0,0.0,29843.790895134152
02-08-2030 03:00:00,10895.376828634535,3.447369458128079,5000.0,436.861,1387.9820000000002,0.0,0,3218.783,2913.860540473439,0,3110.90000309119,285.089,89.854,0,0.0,28843.463197306064
02-08-2030 04:00:00,9631.866279069767,2.499141961486789,5000.0,428.029,1575.66,0.0,0,3213.328,3615.1106427159248,0,3111.9356047491924,288.3575,89.2345,0,0.0,28379.355696345956
02-08-2030 05:00:00,9087.596745485253,4.411668607254813,5000.0,427.211,1655.283,0.0,0,3218.9429999999998,4243.833042127522,0,3114.2374383869605,282.661,88.25,0,0.0,28484.90381158287
02-08-2030 06:00:00,8602.601903338964,7.851002239140169,5000.0,429.26199999999994,1747.5529999999999,0.0,0,3230.573,6377.283347725228,0,3117.698234087396,281.111,87.47200000000001,0,0.0,30240.117345658793
02-08-2030 07:00:00,8345.313959984409,600.2762203313928,5000.0,428.37199999999996,2225.276,0.0,0,3279.881,7538.0373705685215,0,3119.2822531965717,277.8195,88.0115,0,0.0,32337.021974490395
02-08-2030 08:00:00,7752.677562686762,4936.40002507837,5000.0,422.096,2975.8520000000003,0.0,0,3330.63,5814.691249172209,0,3119.7756948152314,278.824,88.115,0,0.0,35356.36112344921
02-08-2030 09:00:00,6450.948954137976,11526.38826690551,5000.0,431.476,3705.401,0.0,0,3328.8740000000003,2323.67726688954,0,3110.533944499087,263.8915,88.7425,0,0.0,38359.9308179758
02-08-2030 10:00:00,5905.94542029362,17294.89006359158,3250.9025691478173,424.685,4038.225,0.0,0,3306.613,0.0,0,3107.3283618097507,253.9795,88.2695,0,0.0,40490.00969339474
02-08-2030 11:00:00,5720.076536312849,21472.86077205553,271.1074142891475,422.801,3814.884,0.0,0,3275.2990000000004,0.0,0,3103.208303077139,257.70599999999996,87.65799999999999,0,0.0,41951.79423657932
02-08-2030 12:00:00,5244.30361243556,22833.491072813285,0.0,425.39099999999996,4319.71,0.0,0,3272.429,0.0,0,3098.030741745117,256.296,87.287,0,0.0,43298.46707079773
02-08-2030 13:00:00,4900.811790893453,23970.12821574695,0.0,424.61699999999996,4722.295999999999,0.0,0,3235.449,0.0,0,3095.74991513278,251.868,86.42200000000001,0,0.0,44532.74396789265
02-08-2030 14:00:00,4916.748175248105,23907.938873765223,0.0,424.533,4678.888,0.0,0,3251.347,0.0,0,3096.127147674582,254.8575,85.7525,0,0.0,44476.09920991843
02-08-2030 15:00:00,5280.800827454675,22900.138144324974,0.0,416.465,4737.022,0.0,0,3226.39,0.0,0,3090.0520947028244,244.231,73.60300000000001,0,0.0,43770.30747904684
02-08-2030 16:00:00,5823.621623261132,21751.933404921183,0.0,413.468,5019.138,0.0,0,3219.038,0.0,0,3086.0889182239707,240.8435,73.4575,0,0.0,43377.75918596203
02-08-2030 17:00:00,6446.259276341432,19064.266500671743,0.0,410.81699999999995,5293.903,1501.6261179901303,0,3212.699,0.0,0,3084.4879147112547,239.7575,72.3805,0,0.0,43020.99297406307
02-08-2030 18:00:00,6793.8167402884255,14337.69797044335,1133.6553915370923,414.99800000000005,5496.431,3947.1177217323166,0,3217.337,0.0,0,3084.5969724603065,242.67,72.89,0,0.0,42365.10222370474
02-08-2030 19:00:00,6992.589015200728,8248.357775190329,5000.0,410.664,6032.531999999999,0.0,0,3234.3909999999996,5087.687534761382,0,3085.067619221582,246.9665,73.4265,0,0.0,41712.038721359415
02-08-2030 20:00:00,7501.1135702221645,2359.117689207344,5000.0,406.79,5417.763000000001,0.0,0,3252.461,10686.758440573507,0,3091.0278039904456,253.3315,82.0815,0,0.0,40903.39624467824
02-08-2030 21:00:00,7657.259614135378,57.48026511419614,5000.0,411.44,5281.8330000000005,0.0,0,3283.244,13278.331898536315,0,3105.0090968104537,258.467,86.70200000000001,0,0.0,40953.944494764124
02-08-2030 22:00:00,7433.41247239184,3.0857572772055533,5000.0,414.13,5660.569,0.0,0,3317.8259999999996,12667.371832750145,0,3111.90610552199,259.455,86.436,0,0.0,40210.846821154024
02-08-2030 23:00:00,7442.185026633752,4.459883564711151,5000.0,406.67,5016.869000000001,0.0,0,3296.341,11132.056872026933,0,3114.7165773500074,261.14799999999997,87.725,0,0.0,37649.8863596825
03-08-2030 00:00:00,7169.230765233208,2.8928974473802063,5000.0,417.777,4736.16,0.0,0,3237.798,9379.702831633222,0,3115.768269495574,263.4905,88.6635,0,0.0,35071.357253780225
03-08-2030 01:00:00,6942.34544627777,2.193780564263323,5000.0,425.962,4081.203,0.0,0,3257.245,7803.640784933821,0,3111.3384688773363,265.1515,88.6785,0,0.0,32478.143728169463
03-08-2030 02:00:00,6555.493945693127,1.7598459471562917,5000.0,423.26,2963.4309999999996,0.0,0,3240.823,7815.62364853713,0,3109.551530841647,264.753,88.571,0,0.0,30879.944556831015
03-08-2030 03:00:00,6124.36471352475,4.202737124944021,5000.0,420.458,2273.294,0.0,0,3247.9640000000004,7929.329737376449,0,3102.6384316425465,264.6195,88.2165,0,0.0,29818.133327454823
03-08-2030 04:00:00,5527.355593088216,2.410747872816838,5000.0,415.793,2148.1020000000003,0.0,0,3252.8190000000004,8275.681260101554,0,3103.211431783055,264.149,89.006,0,0.0,29366.380925083977
03-08-2030 05:00:00,4856.464758997012,4.363453649798477,5000.0,409.86,2258.676,0.0,0,3261.672,8888.289804052394,0,3103.2167952789096,267.80400000000003,89.101,0,0.0,29438.458585624063
03-08-2030 06:00:00,4095.271040665194,7.9956471115091805,5000.0,396.14300000000003,3038.224,0.0,0,3289.817,10398.862496705045,0,3102.8096165519178,265.4135,88.1335,0,0.0,31052.5928331334
03-08-2030 07:00:00,3666.466837728986,554.030040304523,5000.0,384.163,3348.813,0.0,0,3357.736,11999.990267950001,0,3103.2047274132356,267.193,88.52799999999999,0,0.0,33242.308274600386
03-08-2030 08:00:00,3074.491457710796,4711.236173757277,1908.739168816424,382.075,3932.744,0.0,0,3418.5690000000004,13510.953412194285,0,3103.416138541521,261.847,87.26700000000001,0,0.0,36053.47151485318
03-08-2030 09:00:00,2585.2740288424056,11253.563930138827,960.8042534722222,384.95599999999996,4647.376,0.0,0,3412.393,10274.693952157078,0,3103.5542485597866,261.7875,88.1075,0,0.0,39063.083571699695
03-08-2030 10:00:00,2405.402260621021,16875.72529511868,3831.243337673611,383.889,4953.97,0.0,0,3377.156,2758.5967133571753,0,3103.7678944780105,259.9985,87.4205,0,0.0,41122.87902208059
03-08-2030 11:00:00,2828.3261205664544,20981.783394536502,3240.1025480230333,364.11400000000003,4981.536,0.0,0,3335.4959999999996,0.0,0,3101.3592378811295,261.0625,86.2745,0,0.0,42924.085500644316
03-08-2030 12:00:00,3579.742204755099,23551.94598835647,1115.5536071670595,358.727,5060.44,0.0,0,3310.942,0.0,0,3097.062630743291,257.937,85.206,0,0.0,44338.64166026071
03-08-2030 13:00:00,4449.4137789876695,24497.502213321677,0.0,358.85900000000004,4991.6359999999995,0.0,0,3303.888,0.0,0,3092.3284517352813,257.382,84.696,0,0.0,45013.670568748305
03-08-2030 14:00:00,5628.058873687937,23825.14110135185,0.0,356.14599999999996,4121.12,0.0,0,3310.4159999999997,0.0,0,3090.1946743009694,255.00900000000001,83.34100000000001,0,0.0,44615.98729398009
03-08-2030 15:00:00,6323.1588344898455,22502.075742273304,0.0,336.58099999999996,4010.8720000000003,0.0,0,3286.1940000000004,0.0,0,3087.4047625403964,257.1055,85.3165,0,0.0,43724.91084359672
03-08-2030 16:00:00,7534.626248470237,21072.715959617388,0.0,362.02,4056.528,0.0,0,3246.645,0.0,0,3082.36978080652,254.419,84.81200000000001,0,0.0,43437.90500346716
03-08-2030 17:00:00,9271.764083409122,18415.97621854008,0.0,377.996,4564.309,234.02484727104456,0,3235.052,0.0,0,3081.363231417732,253.7735,84.6945,0,0.0,43166.51184334628
03-08-2030 18:00:00,10554.857009224374,13353.148539184955,0.0,382.20099999999996,5335.956,2775.361287222673,0,3259.7059999999997,0.0,0,3085.279030349867,256.6205,86.2255,0,0.0,42509.09404640188
03-08-2030 19:00:00,11104.42927764064,7229.005180474698,5000.0,385.02,5544.291,849.6667597711275,0,3284.1459999999997,1912.559754085174,0,3089.367355065336,259.9415,86.8695,0,0.0,41794.941248869254
03-08-2030 20:00:00,10785.941977393788,1838.3398978952082,5000.0,378.718,5481.695,0.0,0,3298.446,7922.954181538687,0,3093.931243079949,263.505,87.51899999999999,0,0.0,40780.80359995703
03-08-2030 21:00:00,10885.8744445888,43.80328884908196,5000.0,385.05300000000005,5555.908,0.0,0,3323.797,9067.59562816293,0,3104.2899414078965,277.2165,88.7515,0,0.0,40069.26465319722
03-08-2030 22:00:00,11601.9146355723,2.949148231079266,5000.0,386.36699999999996,5322.34,0.0,0,3344.4390000000003,7999.962976108143,0,3108.7872326823103,276.98400000000004,88.844,0,0.0,39227.67300562484
03-08-2030 23:00:00,11895.827523710537,4.186665472458576,5000.0,385.629,4752.4529999999995,0.0,0,3295.762,6451.8269404485145,0,3110.398963186736,276.637,87.641,0,0.0,37095.204647344
04-08-2030 00:00:00,11892.23467584773,2.7000376175548593,5000.0,388.43699999999995,3813.014,0.0,0,3201.197,5355.890407345867,0,3111.9025298580864,277.9265,89.7055,0,0.0,34795.839475360255
04-08-2030 01:00:00,11524.654852539952,2.113422301836095,5000.0,391.82800000000003,3674.756,0.0,0,3199.718,3703.3613798012957,0,3107.3328313896304,280.961,90.11399999999999,0,0.0,32509.926469038037
04-08-2030 02:00:00,10491.524464076912,0.859833407971339,5000.0,391.267,2784.2729999999997,0.0,0,3164.554,3821.850288253503,0,3104.5929789237034,281.307,89.406,0,0.0,30576.455106994443
04-08-2030 03:00:00,9422.797148239573,3.800945812807882,5000.0,392.41900000000004,2226.651,0.0,0,3153.735,4567.729212809412,0,3105.401078965857,285.539,90.304,0,0.0,29585.075229764738
04-08-2030 04:00:00,8325.875464466675,5.20721540528437,5000.0,393.591,1916.612,0.0,0,3138.498,5244.850632921682,0,3107.74894927638,287.2035,90.5035,0,0.0,28745.26720091629
04-08-2030 05:00:00,7179.515109783032,4.395596954769369,906.7271187490564,382.98400000000004,1843.225,0.0,0,3128.032,10029.73427534395,0,3106.9480005620344,287.6955,89.5615,0,0.0,28193.055658953406
04-08-2030 06:00:00,6640.554566714305,6.227765338110166,185.89431423611111,376.19199999999995,1911.54,0.0,0,3115.698,11343.953392818597,0,3090.779295349164,285.8885,89.7905,0,0.0,28329.241672485106
04-08-2030 07:00:00,6376.32489931142,501.35519928347514,170.19563802083331,377.319,1520.281,0.0,0,3123.033,11575.393901676862,0,3055.290831108613,287.7685,90.6725,0,0.0,28420.759007653043
04-08-2030 08:00:00,5510.046115369625,4482.448164800717,133.4015625,380.191,2406.0679999999998,0.0,0,3139.5029999999997,8947.336540035938,0,2985.303914570746,285.9295,90.4955,0,0.0,29854.230726950816
04-08-2030 09:00:00,4633.309912953098,11003.368480071651,506.3445529513889,382.63800000000003,3478.325,0.0,0,3146.302,4363.226602773565,0,2920.8919050161585,284.872,90.24,0,0.0,32611.772513744996
04-08-2030 10:00:00,4409.77764063921,16809.437764442453,585.4367216522669,380.72900000000004,4126.186,0.0,0,3127.06,0.0,0,2907.5917761697347,280.453,89.315,0,0.0,35025.90399551347
04-08-2030 11:00:00,3761.0093301398465,18951.34011272494,0.0,378.10400000000004,3591.159,0.0,0,3107.033,0.0,0,2905.3167600112406,282.077,88.82799999999999,0,0.0,36076.33722377991
04-08-2030 12:00:00,3404.8785554638675,19591.9748485113,0.0,373.52,3937.863,0.0,0,3081.363,0.0,0,2902.5304239145707,279.1185,87.6825,0,0.0,37123.837390144785
04-08-2030 13:00:00,3505.2680081212884,19905.24065362409,0.0,374.542,4401.281,0.0,0,3014.58,0.0,0,2875.2221847688634,280.0025,87.0985,0,0.0,38111.50139503295
04-08-2030 14:00:00,4013.9273255256508,19967.80880920561,0.0,367.65,4251.053,0.0,0,2983.2670000000003,0.0,0,2839.718970914711,280.17400000000004,86.867,0,0.0,38506.92400384708
04-08-2030 15:00:00,4764.194630531036,19717.169676574777,0.0,375.35,3467.13,0.0,0,2997.815,0.0,0,2806.406298159337,278.4025,86.6645,0,0.0,38166.91036003416
04-08-2030 16:00:00,5656.839893803544,18042.164415438438,0.0,377.782,3705.5959999999995,0.0,0,2969.716,0.0,0,2804.690873401714,275.785,87.36,0,0.0,37538.4080660811
