month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumping turbidity (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,1.6639753896964353,7.163914650353505,0.9176786695827579,0.29615193683934204,2.1948430929518046,0.03666020396337582,0.004366407627036271,2.4834159184376965,7.507772536129333,0.5359363946322497,2.2778432692267794,0.2378789142347222,0.08057092223472188,0,0.002960318106806117
2,1.9459403784685938,6.300944428747489,1.8539591115357803,0.3015549999760582,2.3890908534928204,0.016776432736459936,0.0,2.254211467416204,6.049063737381952,0.5121483474996467,2.052574360939721,0.21501555216241955,0.07300114616241961,0,0
3,1.9832867928401041,9.782090691033389,1.6235389811467518,0.27141260889230834,4.4023644028676925,0.4835491679736551,0.08975842084772478,2.33845160012308,1.814125692474309,0.5347221289294389,2.006357320076156,0.22667721128154275,0.07719093328154288,-0.5362911186064964,0
4,2.431418752561605,5.640547857229458,2.710420921593631,0.23789534185361258,4.718400483856086,0.33747300188443385,0.06850114336405383,2.3562487149876437,1.659619769989757,0.5069408730693238,1.704067034443585,0.17832677023593824,0.07762474723593812,-0.17621641030161467,0
5,2.779290209966256,4.010510124026635,3.771760324613973,0.2916666870779689,3.5230999305233914,0.4123474866798228,0.0912018727535215,2.421103324772891,3.217519028684054,0.5341822666067311,1.6665610760406078,0.14829767359936408,0.035615200599363885,-0.22609549704771348,0
6,2.882405362887068,3.277952682704734,4.405457622131464,0.30499332318636324,3.718032184755912,0.29435137400658706,0.04061781986057393,2.4065842921522727,3.4010305096253903,0.5568871642466346,1.605290443660391,0.1871621725277235,0.0625557985277234,-0.14364667181929638,0
7,3.5596054293657864,3.4164306382346394,6.907041631437048,0.3243793888711321,3.0273863106613397,3.718767812195619e-05,0.0,2.4399842430489627,2.6312695650644713,0.6459512945779095,1.9983597515144036,0.21320391208296952,0.07844227708296952,0,0
8,3.21746437681378,4.187729443847831,5.623107664515475,0.31752930969607074,2.105587826808821,0.02598192803367774,0.0,2.3647798534362474,4.007645464725713,0.6654481607839515,2.2954532637727962,0.20869842351459492,0.07979500551459483,0,0
9,2.753117390043845,3.3117660586497975,3.7815426551369553,0.32033504378171523,1.9268267481345125,0.0,0.0,2.4114823582360008,5.969782170900044,0.601993801320186,2.2406160016440935,0.2017216463221826,0.07744088632218263,0,0
10,2.153893731074935,5.833495800424357,2.3595463303093163,0.29773732826195853,1.462667744678588,0.037854004642720145,0.00381282450613069,2.523020279916858,5.233889778183325,0.5628705036670012,2.302133905485881,0.2135209038936178,0.07858186989361772,0,0
11,1.4253514144245554,6.1636179761460195,0.6471001125436512,0.2933198425317468,2.1620009657595243,0.004075369184314262,0.0,2.474817501861112,7.823122175574687,0.502369484966235,1.7118416956706481,0.20254819669762675,0.0721930156976267,0,0
12,1.6255932498039596,5.881652401183471,0.9008872913655959,0.300199110704128,2.486663765611238,0.0074074646662942575,0.0,2.5326832524644467,7.394846577510759,0.523552036968512,1.9160019259765353,0.2018068777282,0.08095891072819995,0,0
