Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-05-2040 00:00:00,15067.854667517799,0.7208082056571657,164.68186809852645,416.17400000000004,6291.643,202.3890376680538,2260.3,842.5830000000001,0.0,0.0,0.0,264.8415,85.3295,0,0.0,28436.28290152237
01-05-2040 01:00:00,15730.591680633974,4.85525527206808,0.0,406.19,5348.3769999999995,0.0,2260.3,826.67575,0.0,0.0,0.0,267.0495,84.9915,0,0.0,26347.412172993427
01-05-2040 02:00:00,15359.722315162086,0.7004079734215857,0.0,398.039,5092.525,0.0,2260.3,811.6392500000001,0.0,0.0,0.0,271.3535,84.6365,0,0.0,25001.222401811483
01-05-2040 03:00:00,15421.73007428173,4.535651633710657,0.5278556700588303,399.374,4981.255,0.0,337.3559566570593,806.821,0.0,0.0,0.0,272.404,84.78,0,0.0,24238.20471188687
01-05-2040 04:00:00,14328.720125574577,1.5368174950803724,0.0,401.87800000000004,4814.167,0.0,0.0,803.6669999999999,0.0,0.0,0.0,269.5335,85.4565,0,0.0,23826.2912055521
01-05-2040 05:00:00,13630.445001064501,5.440061929488045,0.0,398.82800000000003,4396.787,0.0,0.0,805.73125,0.0,0.0,0.0,269.8695,85.3185,0,0.0,23638.900881133246
01-05-2040 06:00:00,13059.162588526275,4.664853104535997,0.0,400.676,4607.593,0.0,0.0,808.698,0.0,0.0,0.0,252.498,84.47200000000001,0,0.0,23848.105857254122
01-05-2040 07:00:00,12200.27299523692,518.9343075312763,0.0,386.904,4668.693,0.0,0.0,799.71075,0.0,0.0,0.0,262.42,84.319,0,0.0,23783.520456726234
01-05-2040 08:00:00,11084.766412509207,4536.148039361722,24.481581938935406,383.781,4687.265,0.0,0.0,804.33075,0.0,0.0,0.0,263.741,85.118,0,0.0,25015.323453975736
01-05-2040 09:00:00,10888.589877903696,10532.361100056152,1682.5399483125218,382.273,4780.125,0.0,0.0,803.8919999999999,0.0,0.0,0.0,259.6205,84.5095,0,0.0,27319.503154324582
01-05-2040 10:00:00,11204.121082629237,15339.839028228504,5426.629316999633,388.793,4972.305,0.0,0.0,803.1192500000001,0.0,0.0,0.0,257.6205,82.6435,0,0.0,29105.536610954645
01-05-2040 11:00:00,10865.788680386355,18024.040385089436,5947.067704798154,402.98199999999997,5147.92,0.0,0.0,803.9739999999999,0.0,0.0,0.0,266.687,82.936,0,0.0,30010.819175224453
01-05-2040 12:00:00,11072.806306652521,18971.535971348367,6595.565698344914,406.41,5185.71,0.0,0.0,805.1015,0.0,0.0,0.0,267.9165,82.2575,0,0.0,30288.803375233027
01-05-2040 13:00:00,11340.45260114842,18852.555016873048,7141.677893819915,403.279,4946.387,0.0,0.0,809.0225,0.0,0.0,0.0,267.8495,82.3045,0,0.0,30467.41620665935
01-05-2040 14:00:00,12168.803715277523,18621.637988121107,8304.534833999693,403.472,4639.288,0.0,0.0,810.692,0.0,0.0,0.0,269.6415,83.8125,0,0.0,30014.19610696653
01-05-2040 15:00:00,15351.803664245816,17817.032428517592,8248.60943585294,397.23900000000003,4192.221,0.0,0.0,790.76575,0.0,0.0,0.0,264.195,82.87100000000001,0,-8000.0,28504.36389883154
01-05-2040 16:00:00,15799.450407400282,16552.857237188335,8311.396957710456,398.30800000000005,4087.268,0.0,0.0,792.66825,0.0,0.0,0.0,261.6345,81.6125,0,-8000.0,27463.05251262061
01-05-2040 17:00:00,15559.676805952371,13928.08855690706,8208.792736602814,398.661,4208.1759999999995,0.0,0.0,792.1855,0.0,0.0,0.0,261.5225,84.2765,0,-8000.0,27170.74295004454
01-05-2040 18:00:00,15393.573350107534,10934.952883147913,9925.006236281159,401.506,4063.1620000000003,0.0,0.0,791.5695,0.0,0.0,0.0,262.307,83.281,0,-8000.0,27242.789740403103
01-05-2040 19:00:00,14478.370308469783,6475.285314437383,10753.22998452312,402.031,4392.113,0.0,0.0,798.7280000000001,0.0,0.0,0.0,265.5,84.6,0,-8000.0,27822.665983894974
01-05-2040 20:00:00,12729.470892231357,1457.2225889745503,7586.33258912568,400.25,5422.515,6675.843526767892,0.0,815.1175,0.0,0.0,0.0,261.4295,84.7935,0,-114.27085920605532,29468.57053688515
01-05-2040 21:00:00,12197.850175509728,11.838934774048354,3932.7522659340016,398.652,6801.57,8000.0,2260.3,821.187,0.0,0.0,0.0,259.6085,84.4505,0,0.0,32390.563954146946
01-05-2040 22:00:00,13316.703534640259,5.943267657965688,2595.830368072413,392.389,6872.154,8000.0,1122.7811532852684,821.5864999999999,0.0,0.0,0.0,257.6145,84.9395,0,0.0,31903.402305330666
01-05-2040 23:00:00,15120.513353904838,1.8020205141429146,1315.015887554147,395.423,6261.842,5873.8328134692365,0.0,818.96825,0.0,0.0,0.0,263.492,83.824,0,0.0,29612.09645976591
02-05-2040 00:00:00,16676.4461294701,0.612006967067405,126.80367329189107,400.915,4737.823,3623.799538648447,0.0,805.0955,0.0,0.0,0.0,263.9115,81.1185,0,0.0,27168.284835377042
02-05-2040 01:00:00,18456.294672280168,3.67884187981629,0.0,392.434,4367.593,352.8369054659779,0.0,795.68475,0.0,0.0,0.0,263.526,82.822,0,0.0,25229.41824809064
02-05-2040 02:00:00,19891.989885790917,0.7480085153046061,0.0,390.626,3926.75,0.0,0.0,795.2377499999999,0.0,0.0,0.0,260.2325,83.1835,0,0.0,24196.11582204791
02-05-2040 03:00:00,20477.271952995725,3.68564195722815,0.0,389.501,3940.5690000000004,0.0,0.0,795.52825,0.0,0.0,0.0,261.3255,84.4625,0,0.0,23648.62397453208
02-05-2040 04:00:00,21390.507309120574,1.7884203593191945,0.0,388.983,3781.258,0.0,0.0,804.1405,0.0,0.0,0.0,260.992,84.476,0,0.0,23621.716025913036
02-05-2040 05:00:00,21826.857826400093,5.038857362188301,0.0,375.61699999999996,3742.8590000000004,0.0,0.0,806.41825,0.0,0.0,0.0,263.638,84.8,0,0.0,24258.545536362384
02-05-2040 06:00:00,21767.868325754163,4.923256046186681,0.0,385.853,4559.778,0.0,0.0,821.2389999999999,0.0,0.0,0.0,259.147,83.99799999999999,0,0.0,27252.118895631087
02-05-2040 07:00:00,20589.303410946,704.6716219588219,3.9771194450984293,396.142,6023.937,1145.5282274973106,0.0,847.97375,0.0,0.0,0.0,257.83799999999997,83.086,0,0.0,30735.186285520747
02-05-2040 08:00:00,18588.896143479236,5276.560868197281,116.41947812745788,409.537,6825.736999999999,690.0339892989177,0.0,877.62125,0.0,0.0,0.0,259.9225,84.0635,0,0.0,33791.674435000765
02-05-2040 09:00:00,16917.140265531874,11687.517450318466,4102.166633143401,407.329,6992.389,0.0,0.0,878.5215,0.0,0.0,0.0,259.0515,84.2425,0,0.0,35678.97455292357
02-05-2040 10:00:00,17411.51526204058,16909.439696511454,9639.773054292988,403.26199999999994,6627.915,0.0,0.0,874.6405,0.0,0.0,0.0,250.4525,84.1655,0,-1810.1700556144096,36553.921646094524
02-05-2040 11:00:00,19062.855119518415,20541.95264892074,14803.584853362296,401.713,6367.205,0.0,0.0,862.76825,0.0,0.0,0.0,246.8675,82.5935,0,-8000.0,36893.74074725879
02-05-2040 12:00:00,21819.264271351178,22265.779072904676,15570.62284867658,409.05800000000005,6202.602,0.0,0.0,862.1289999999999,0.0,0.0,0.0,247.3645,83.0575,0,-8000.0,37198.20361859732
02-05-2040 13:00:00,23172.78893784311,22686.316260286334,13984.471165908762,408.788,6149.594,0.0,0.0,863.29675,0.0,0.0,0.0,244.84,82.507,0,-8000.0,37100.42474228075
02-05-2040 14:00:00,23862.840847940137,22204.224772172518,14328.278125353803,412.445,5993.069,0.0,0.0,863.4885,0.0,0.0,0.0,248.4385,83.4515,0,-8000.0,36367.40363991045
02-05-2040 15:00:00,24040.083114818888,20415.695611614734,12524.431483485867,410.555,5765.991,0.0,0.0,859.7764999999999,0.0,0.0,0.0,248.82,83.01,0,-8000.0,35587.92350074088
02-05-2040 16:00:00,25005.56650991938,17921.216414544695,12975.73898042634,411.29,5564.389,0.0,0.0,860.4367500000001,0.0,0.0,0.0,246.9145,83.8795,0,-8000.0,35050.50813780638
02-05-2040 17:00:00,26318.454192992675,14363.708315988228,13213.383243470756,414.566,5484.340999999999,0.0,0.0,857.336,0.0,0.0,0.0,248.3935,83.5625,0,-8000.0,34724.844771441996
02-05-2040 18:00:00,26436.785666646,9872.610789480077,12578.855223260898,425.171,4938.403,0.0,0.0,855.17975,0.0,0.0,0.0,239.5295,84.8765,0,-8000.0,34375.483736358794
02-05-2040 19:00:00,26162.206275021166,5206.737673332301,11231.72204847162,419.712,5645.101,0.0,0.0,861.02425,0.0,0.0,0.0,236.0415,83.8855,0,-8000.0,34536.91245654637
02-05-2040 20:00:00,24703.73039636364,1137.7005515460703,8067.482133344133,414.741,6680.366999999999,0.0,0.0,864.09,0.0,0.0,0.0,247.8595,82.9255,0,-7450.755588855387,35687.69885124335
02-05-2040 21:00:00,23145.970239817692,9.826111860137779,5137.801255879168,422.74300000000005,8123.013000000001,3699.4689884913932,0.0,870.8267500000001,0.0,0.0,0.0,246.227,82.852,0,-924.4079358541476,38056.07670978221
02-05-2040 22:00:00,23719.59676466259,3.209636538397946,4149.391513694008,418.088,7349.13,2184.7088838040036,0.0,866.6982499999999,0.0,0.0,0.0,244.554,83.084,0,-661.8363118557008,36107.49335293918
02-05-2040 23:00:00,24621.977340879734,1.3804157146075913,3545.8886655398496,415.163,5873.778,0.0,0.0,859.24675,0.0,0.0,0.0,243.887,82.994,0,-2793.7233383745424,32710.29146461704
03-05-2040 00:00:00,24796.52644515213,0.6528074315385652,2907.210607648151,414.094,4896.068,0.0,0.0,831.5369999999999,0.0,0.0,0.0,240.4915,82.7535,0,-4327.996791829537,30335.500858082854
03-05-2040 01:00:00,25215.03775446859,2.624829880977981,2306.4653503220593,403.99699999999996,4698.559,0.0,0.0,819.368,0.0,0.0,0.0,237.49,82.339,0,-5850.646627841543,28462.628772165823
03-05-2040 02:00:00,25776.823945618453,0.6868078185978654,1886.592568629574,402.963,4181.402,0.0,0.0,815.0980000000001,0.0,0.0,0.0,240.75099999999998,83.335,0,-6526.32027052742,27383.709124319666
03-05-2040 03:00:00,26330.612778431536,3.0328345256895846,1784.962150223592,390.526,4138.895,0.0,0.0,808.3447500000001,0.0,0.0,0.0,239.0575,81.8025,0,-7318.2863856324475,26968.66754803347
