Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-01-2050 00:00:00,24486.52324343948,1.0343751884394967,0.0,336.214,2138.335,0.0,0.0,539.70275,0.0,0.0,0.0,215.0805,95.9845,0.0,0.0,28420.507058177962
01-01-2050 01:00:00,24157.97841311794,2.5842932235618123,0.0,327.281,1607.515,0.0,0.0,534.08675,0.0,0.0,0.0,217.354,96.169,0.0,0.0,27524.132415233184
01-01-2050 02:00:00,22408.308959404596,0.7741067264297994,0.0,333.533,1644.1029999999998,0.0,0.0,528.66875,0.0,0.0,0.0,215.5205,95.6395,0.0,0.0,25770.007138085162
01-01-2050 03:00:00,21281.39293371,5.909595705917613,0.0,334.286,1418.898,0.0,0.0,527.17025,0.0,0.0,0.0,217.68,95.822,0.0,0.0,24393.894614932335
01-01-2050 04:00:00,20471.725912736,2.8029873299300814,0.0,336.347,1380.024,0.0,0.0,526.14375,0.0,0.0,0.0,217.2405,96.3395,0.0,0.0,23524.594198182112
01-01-2050 05:00:00,20269.427347338613,6.579418241962681,0.0,333.543,1316.829,0.0,0.0,526.23425,0.0,0.0,0.0,214.8445,96.0745,0.0,0.0,23251.3991030751
01-01-2050 06:00:00,20348.509156954606,1.8603428021893593,0.0,331.936,1424.869,0.0,0.0,525.57525,0.0,0.0,0.0,215.08599999999998,94.86399999999999,0.0,0.0,23441.87002440642
01-01-2050 07:00:00,20569.39355607044,13.969753648026114,0.0,335.87800000000004,1666.9260000000002,0.0,0.0,530.79575,0.0,0.0,0.0,217.7785,95.2415,0.0,0.0,23938.846555272885
01-01-2050 08:00:00,22022.429846777424,386.5512136400833,0.0,339.55,1532.271,0.0,0.0,533.55925,0.0,0.0,0.0,216.5035,95.0375,0.0,-1884.5860023843852,23756.49465638064
01-01-2050 09:00:00,21831.377310368738,6715.8332901689555,0.0,331.8,1625.9579999999999,0.0,0.0,537.8444999999999,0.0,0.0,0.0,216.8295,95.2765,0.0,-7554.74004529846,24373.020312634617
01-01-2050 10:00:00,24712.12747241288,17136.884364870733,0.0,331.361,1657.442,0.0,0.0,533.34125,0.0,0.0,0.0,215.6475,95.0245,0.0,-8000.0,26211.857680630186
01-01-2050 11:00:00,27056.22436741321,23843.85740299142,0.0,327.404,1771.13,0.0,0.0,531.0042500000001,0.0,0.0,0.0,215.18200000000002,94.699,0.0,-8000.0,27975.48617109739
01-01-2050 12:00:00,31827.68289608832,26157.45593179643,0.0,337.10900000000004,1862.415,0.0,0.0,527.53475,0.0,0.0,0.0,219.5305,95.9105,0.0,-8000.0,28797.289680955997
01-01-2050 13:00:00,34248.91400878874,25348.23053604514,0.0,340.597,1803.547,0.0,0.0,527.49675,0.0,0.0,0.0,218.5775,95.5935,0.0,-8000.0,29565.16136038804
01-01-2050 14:00:00,44564.960141857424,23235.85929120127,0.0,342.28,1588.13,0.0,0.0,527.08625,0.0,0.0,0.0,218.166,94.068,0.0,-8000.0,29979.41958269437
01-01-2050 15:00:00,46030.36198850148,19082.22197023694,0.0,328.26800000000003,1594.345,0.0,0.0,529.0135,0.0,0.0,0.0,221.4025,95.3615,0.0,-8000.0,28379.489650459825
01-01-2050 16:00:00,47630.622596875626,10548.948578176622,0.0,320.277,1598.256,0.0,0.0,532.55125,0.0,0.0,0.0,221.3335,96.2745,0.0,-8000.0,27691.649228817267
01-01-2050 17:00:00,50833.65263820068,2087.4863628997364,0.0,324.115,1667.724,0.0,0.0,538.9135,0.0,0.0,0.0,220.6205,95.2935,0.0,-8000.0,28134.372515442643
01-01-2050 18:00:00,54372.011771118996,20.768584535087374,0.0,326.03,1964.774,0.0,0.0,546.0585,0.0,0.0,0.0,217.59099999999998,93.84,0.0,-8000.0,31328.0711664378
01-01-2050 19:00:00,53496.28897622331,5.126492103175824,0.0,319.59,2023.0720000000001,0.0,0.0,558.58025,0.0,0.0,0.0,223.2165,94.4645,0.0,-8000.0,33129.4587418537
01-01-2050 20:00:00,53513.96128617337,9.013383545784285,0.0,325.045,1974.265,0.0,0.0,562.1192500000001,0.0,0.0,0.0,222.0915,94.9025,0.0,-8000.0,34138.15500051714
01-01-2050 21:00:00,52507.095956720026,1.2290978545264497,0.0,332.13800000000003,1938.566,0.0,0.0,562.628,0.0,0.0,0.0,220.3045,94.8445,0.0,-8000.0,34446.75331897609
01-01-2050 22:00:00,52866.25004737419,5.609728844286951,0.0,335.865,1944.8010000000002,0.0,0.0,565.94575,0.0,0.0,0.0,218.9775,94.4485,0.0,-8000.0,33690.60034030011
01-01-2050 23:00:00,49599.32299290829,1.8699096356082447,0.0,325.02099999999996,1978.1529999999998,0.0,0.0,562.7595,0.0,0.0,0.0,215.101,95.211,0.0,-8000.0,31083.054131100074
