month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumping turbidity (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,0.9672999135424639,7.402592828375067,1.1742306414431924,0.29615193683934204,2.1948430929518046,0.024421379521114076,0.0,2.4834159184376965,7.725725055589492,0.5359363946322497,2.2778432692267794,0.2378789142347222,0.08057092223472188,0,0.003058356987902509
2,1.1249448109589903,6.512346597830138,2.379404738366665,0.3015549999760582,2.3890908534928204,0.0,0.0,2.254211467416204,6.149987941714481,0.5121483474996467,2.052574360939721,0.21501555216241955,0.07300114616241961,0,0
3,1.1317145028237463,10.018213977510083,2.064687654209391,0.27141260889230834,4.4023644028676925,0.5189208873721171,0.06916386948587191,2.33845160012308,1.9058651344735371,0.5347221289294389,2.006357320076156,0.22667721128154275,0.07719093328154288,-0.5033664962182218,0
4,1.427156675418705,5.832989947712944,3.4897431256121743,0.23789534185361258,4.718400483856086,0.2851087141450905,0.0461944527770392,2.3562487149876437,1.719460651623073,0.5069408730693238,1.704067034443585,0.17832677023593824,0.07762474723593812,-0.15299349169425552,0
5,1.504630405034392,3.9201783495852216,4.818379722964954,0.2916666870779689,3.5230999305233914,0.6104360073628307,0.060012535887128814,2.421103324772891,3.320677659326698,0.5341822666067311,1.6665610760406078,0.14829767359936408,0.035615200599363885,-0.2222733866068112,0
6,1.5792955639014825,3.269059725367792,5.636320853474149,0.30499332318636324,3.718032184755912,0.39927315745913694,0.023111554284586774,2.4065842921522727,3.435830765887446,0.5568871642466346,1.605290443660391,0.1871621725277235,0.0625557985277234,-0.2021846868527968,0
7,2.0411891259941677,3.5226475036271396,8.827672287342722,0.3243793888711321,3.0273863106613397,0.0,0.0,2.4399842430489627,2.122875534815995,0.6459512945779095,1.9983597515144036,0.21320391208296952,0.07844227708296952,0,0
8,1.8530951902847803,4.342517733308896,7.185633389207892,0.31752930969607074,2.105587826808821,0.0,0.0,2.3647798534362474,3.68068256513488,0.6654481607839515,2.2954532637727962,0.20869842351459492,0.07979500551459483,0,0
9,1.5812520030933783,3.414787234118979,4.834012174654625,0.32033504378171523,1.9268267481345125,0.0,0.0,2.4114823582360008,5.986156862863664,0.601993801320186,2.2406160016440935,0.2017216463221826,0.07744088632218263,0,0
10,1.2532039651462221,6.046582045127811,3.0212513585592276,0.29773732826195853,1.462667744678588,0.003897536012651153,0.0,2.523020279916858,5.297557564294884,0.5628705036670012,2.302133905485881,0.2135209038936178,0.07858186989361772,0,0
11,0.8244387573075218,6.3594624783419516,0.8261003143408168,0.2933198425317468,2.1620009657595243,0.0010751376338082282,0.0,2.474817501861112,8.052190360249112,0.502369484966235,1.7118416956706481,0.20254819669762675,0.0721930156976267,0,0
12,0.9387565834229729,6.072300394570029,1.1528416706461138,0.300199110704128,2.486663765611238,0.0016715133761724629,0.0,2.5326832524644467,7.644816822514792,0.523552036968512,1.9160019259765353,0.2018068777282,0.08095891072819995,0,0
