month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Thermal (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,1.0732147530459455,11.17946607670647,0.6415328709183852,0.29615193683934204,2.1948430929518046,0.13920769779898026,0.03257010951699889,1.4900495510626186,5.922505428750649,0.3215618367793491,2.2778432692267794,0.23787891423472218,0.08057092223472186,-0.4707052678702339,0.0083997767531205
2,1.2430904388267083,9.832569733676578,1.3072321701195906,0.3015549999760582,2.3890908534928204,0.12599286617193578,0.014379587673553186,1.35252688044972,4.79016200512191,0.3072890084997884,2.052574360939721,0.21501555216241955,0.07300114616241962,-0.040198786753659066,0
3,1.389383109595672,15.93165957029054,1.1526469018815622,0.27141260889230834,4.4023644028676925,0.36138769692487976,0.06147354710232692,1.4030709600738476,0.6770028875687293,0.3208332773576634,2.006357320076156,0.22667721128154275,0.07719093328154288,-2.5380845698891905,0
4,1.627571132445153,9.102141641031457,1.925112686584988,0.23789534185361258,4.718400483856086,0.2914563967955485,0.07115551844556159,1.4137492289925881,1.5933132620679726,0.3041645238415942,1.704067034443585,0.17832677023593824,0.07762474723593812,-0.6502919632359127,0
5,1.886887165651169,6.660445856511242,2.6930092517002473,0.2916666870779689,3.5230999305233914,0.3285908240159436,0.03625005833915929,1.4526619948637356,4.1330474408423346,0.32050935996403845,1.6665610760406078,0.14829767359936408,0.03561520059936387,-0.46424631999634974,0
6,1.9305630760854446,5.416003597321919,3.160390119273592,0.30499332318636324,3.718032184755912,0.16949606360332264,0.013563135301059447,1.4439505752913633,4.656018475727624,0.33413229854798077,1.605290443660391,0.1871621725277235,0.0625557985277234,-0.045683748825175716,0
7,2.2980454409343865,5.3969709700528465,4.955828645971001,0.3243793888711321,3.0273863106613397,0.0,0.0,1.4639905458293803,5.097913609472592,0.38757077674674617,1.9983597515144036,0.21320391208296954,0.07844227708296954,0,0
8,2.0639266387490443,6.584116402797917,3.998980217719775,0.31752930969607074,2.105587826808821,0.06451394498096577,0.004918366988343751,1.4188679120617487,5.557564512388513,0.3992688964703716,2.2954532637727962,0.20869842351459494,0.07979500551459484,0,0
9,1.7794812331786776,5.232992629131637,2.7145166872057853,0.32033504378171523,1.9268267481345125,0.0,0.0,1.4468894149416016,7.294608189037027,0.3611962807921114,2.2406160016440935,0.2017216463221826,0.07744088632218261,0,0
10,1.3844487029564265,9.036131596612085,1.6621554754368304,0.29773732826195853,1.462667744678588,0.15392253534937805,0.033379017641928375,1.5138121679501155,4.650898885539641,0.33772230220020116,2.302133905485881,0.21352090389361783,0.07858186989361773,-0.06408743096195116,0
11,0.9179222654604636,9.560630029809712,0.45363451849951536,0.2933198425317468,2.1620009657595243,0.12077092390527511,0.026751476417950424,1.4848905011166686,6.280353732931551,0.301421690979741,1.7118416956706481,0.20254819669762675,0.0721930156976267,-0.10592110442030686,0
12,1.0496713807662903,9.147720295479061,0.6359733629531515,0.300199110704128,2.486663765611238,0.107035791602765,0.021082225423844483,1.5196099514786678,6.147877563196902,0.3141312221811065,1.9160019259765353,0.20180687772819997,0.08095891072819993,-0.07035867886912285,0
