Match demand,Minimize cost,tooltip
40487715.73924065,41.759549968553145,"Generation: 4<br>Type: Minimize curtailments<br>Installed power: 218.89 GW<br>Renewable power: 190.06 GW (302.26 %)<br>Emissions: 15,725.07 Kton CO<sub>2</sub> (75.63 %)<br>Imported energy: 71.35 GWh<br>Exported energy: -42573.54 GWh<br>Net cost: 12,575.85 M€<br>Dumped energy cost: 1,401.82 M€<br>Power PV: 60.79 GW (60540.33702664022)<br>Power wind: 95.15 GW (94726.75198166666)<br>Power CSP: 3.05 GW (745.5101835583664)<br>Match demand = 40,487.72 GWh<br>Minimize cost = 4.18 c€/kWh<br>"
14143652.858736826,48.640217440620646,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 185.81 GW<br>Renewable power: 156.98 GW (249.65 %)<br>Emissions: 16,067.05 Kton CO<sub>2</sub> (75.10 %)<br>Imported energy: 101.49 GWh<br>Exported energy: -24881.91 GWh<br>Net cost: 14,647.95 M€<br>Dumped energy cost: 507.28 M€<br>Power PV: 25.92 GW (25670.169292245646)<br>Power wind: 82.71 GW (82284.10365440424)<br>Power CSP: 17.28 GW (14977.960706272863)<br>Match demand = 14,143.65 GWh<br>Minimize cost = 4.86 c€/kWh<br>"
14167001.836749928,48.562038622944,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 185.88 GW<br>Renewable power: 157.05 GW (249.77 %)<br>Emissions: 16,102.48 Kton CO<sub>2</sub> (75.05 %)<br>Imported energy: 101.22 GWh<br>Exported energy: -24929.08 GWh<br>Net cost: 14,624.41 M€<br>Dumped energy cost: 508.07 M€<br>Power PV: 26.06 GW (25809.215920581337)<br>Power wind: 82.84 GW (82416.53241751922)<br>Power CSP: 17.08 GW (14776.66652826934)<br>Match demand = 14,167.00 GWh<br>Minimize cost = 4.86 c€/kWh<br>"
14316860.850883085,48.44515097613188,"Generation: 149<br>Type: Minimize curtailments<br>Installed power: 186.30 GW<br>Renewable power: 157.47 GW (250.43 %)<br>Emissions: 16,039.73 Kton CO<sub>2</sub> (75.15 %)<br>Imported energy: 101.91 GWh<br>Exported energy: -24968.18 GWh<br>Net cost: 14,589.21 M€<br>Dumped energy cost: 511.95 M€<br>Power PV: 26.90 GW (26651.415252258703)<br>Power wind: 82.58 GW (82155.19043770878)<br>Power CSP: 16.92 GW (14613.846989934564)<br>Match demand = 14,316.86 GWh<br>Minimize cost = 4.84 c€/kWh<br>"
14899652.908386298,47.98103291485632,"Generation: 148<br>Type: Minimize curtailments<br>Installed power: 187.15 GW<br>Renewable power: 158.32 GW (251.79 %)<br>Emissions: 16,133.62 Kton CO<sub>2</sub> (75.00 %)<br>Imported energy: 99.22 GWh<br>Exported energy: -25774.42 GWh<br>Net cost: 14,449.44 M€<br>Dumped energy cost: 534.61 M€<br>Power PV: 27.14 GW (26892.195469601054)<br>Power wind: 84.31 GW (83880.41679324489)<br>Power CSP: 15.80 GW (13500.890854443027)<br>Match demand = 14,899.65 GWh<br>Minimize cost = 4.80 c€/kWh<br>"
14057532.488249121,48.65593841217897,"Generation: 146<br>Type: Minimize curtailments<br>Installed power: 185.68 GW<br>Renewable power: 156.85 GW (249.45 %)<br>Emissions: 16,099.78 Kton CO<sub>2</sub> (75.05 %)<br>Imported energy: 101.97 GWh<br>Exported energy: -24783.67 GWh<br>Net cost: 14,652.69 M€<br>Dumped energy cost: 504.03 M€<br>Power PV: 25.92 GW (25670.169292245646)<br>Power wind: 82.58 GW (82155.19043770878)<br>Power CSP: 17.28 GW (14977.960706272863)<br>Match demand = 14,057.53 GWh<br>Minimize cost = 4.87 c€/kWh<br>"
14178978.862479469,48.55603414023053,"Generation: 146<br>Type: Minimize curtailments<br>Installed power: 185.92 GW<br>Renewable power: 157.09 GW (249.83 %)<br>Emissions: 16,092.03 Kton CO<sub>2</sub> (75.07 %)<br>Imported energy: 101.39 GWh<br>Exported energy: -24919.29 GWh<br>Net cost: 14,622.60 M€<br>Dumped energy cost: 508.27 M€<br>Power PV: 26.16 GW (25914.682084180375)<br>Power wind: 82.78 GW (82351.62929500859)<br>Power CSP: 17.08 GW (14776.66652826934)<br>Match demand = 14,178.98 GWh<br>Minimize cost = 4.86 c€/kWh<br>"
14890116.860527985,48.12101955331555,"Generation: 140<br>Type: Minimize curtailments<br>Installed power: 186.94 GW<br>Renewable power: 158.11 GW (251.45 %)<br>Emissions: 16,106.57 Kton CO<sub>2</sub> (75.04 %)<br>Imported energy: 97.16 GWh<br>Exported energy: -25859.80 GWh<br>Net cost: 14,491.60 M€<br>Dumped energy cost: 535.99 M€<br>Power PV: 26.27 GW (26017.612037940686)<br>Power wind: 84.65 GW (84226.45431518472)<br>Power CSP: 16.12 GW (13814.619307691899)<br>Match demand = 14,890.12 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
14901594.486594709,47.98059582288635,"Generation: 140<br>Type: Minimize curtailments<br>Installed power: 187.16 GW<br>Renewable power: 158.33 GW (251.79 %)<br>Emissions: 16,132.79 Kton CO<sub>2</sub> (75.00 %)<br>Imported energy: 99.22 GWh<br>Exported energy: -25775.54 GWh<br>Net cost: 14,449.31 M€<br>Dumped energy cost: 534.67 M€<br>Power PV: 27.14 GW (26895.59255516252)<br>Power wind: 84.31 GW (83880.41679324489)<br>Power CSP: 15.80 GW (13500.890854443027)<br>Match demand = 14,901.59 GWh<br>Minimize cost = 4.80 c€/kWh<br>"
14881540.000141095,48.122260614480375,"Generation: 139<br>Type: Minimize curtailments<br>Installed power: 186.93 GW<br>Renewable power: 158.10 GW (251.43 %)<br>Emissions: 16,109.27 Kton CO<sub>2</sub> (75.04 %)<br>Imported energy: 97.21 GWh<br>Exported energy: -25851.72 GWh<br>Net cost: 14,491.97 M€<br>Dumped energy cost: 535.67 M€<br>Power PV: 26.27 GW (26017.612037940686)<br>Power wind: 84.64 GW (84215.00315427942)<br>Power CSP: 16.12 GW (13814.619307691899)<br>Match demand = 14,881.54 GWh<br>Minimize cost = 4.81 c€/kWh<br>"
