Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-09-2050 00:00:00,22384.7564347842,2.7928718151458156,0.0,387.08099999999996,2602.974,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,34984.235150352826
01-09-2050 01:00:00,21022.720193740886,2.844912904869029,0.0,387.708,2449.426,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,32701.94748649363
01-09-2050 02:00:00,21598.18172285241,2.8796069646845055,0.0,388.72,1963.219,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,31323.285789560956
01-09-2050 03:00:00,22053.812559700316,2.9663421142231954,0.0,383.348,1558.654,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30595.20908499089
01-09-2050 04:00:00,23013.694588592272,3.243894592747003,52.38987256075074,383.046,1263.305,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30074.330369705418
01-09-2050 05:00:00,23558.122121054686,4.857168374166636,389.9843694407851,384.835,1303.988,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30292.1226530426
01-09-2050 06:00:00,25372.297553988486,11.50108082883028,577.075007977962,379.119,2190.113,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,32464.05613015594
01-09-2050 07:00:00,26991.3637107142,165.38658314037394,582.0181553532437,380.32599999999996,2422.605,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,35667.75961759275
01-09-2050 08:00:00,26946.010766395655,5378.498663983885,774.80090298923,383.12800000000004,2610.12,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,37886.05920599921
01-09-2050 09:00:00,25118.57348931164,19660.134916725492,1327.3848626078418,379.844,3332.592,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,40524.87788755411
01-09-2050 10:00:00,24971.79626733991,32639.755145682004,12299.411975682926,378.01599999999996,3774.8340000000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,42331.432452358364
01-09-2050 11:00:00,24423.851463168092,43171.60537247724,32337.99523292052,378.402,3589.7659999999996,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,43493.608490261584
01-09-2050 12:00:00,23421.56356643542,48589.7246527704,49585.64752360515,383.31,3544.053,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,44539.234989408294
01-09-2050 13:00:00,23223.391893365595,50804.00363237352,52736.04266936516,387.339,3614.845,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,45240.78785558636
01-09-2050 14:00:00,24324.387632041457,50359.954360795244,57772.06129836427,389.85400000000004,2975.455,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,44170.01082306122
01-09-2050 15:00:00,26187.452501067197,46323.57805374316,60204.76387255406,390.22900000000004,2976.509,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,42970.31339320654
01-09-2050 16:00:00,28175.921880912432,40984.43980061991,61229.455854598236,384.718,2795.7859999999996,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,42852.9271703551
01-09-2050 17:00:00,32295.281314737844,34043.35537660681,59803.20804448476,390.79900000000004,2551.879,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,42821.7301258274
01-09-2050 18:00:00,36679.72387105572,25217.79370559649,66320.97254731072,384.246,2349.514,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,42306.00527343242
01-09-2050 19:00:00,39247.53723293761,11926.534084347468,61023.790965317574,378.986,2505.019,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,41329.67669785151
01-09-2050 20:00:00,38459.194275119116,1289.890449879581,33362.64976687854,379.327,3094.78,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,41167.39451450759
01-09-2050 21:00:00,37736.571122756155,7.094935232264835,18395.02420304261,384.286,3430.2470000000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,43270.99336610939
01-09-2050 22:00:00,35084.40090004049,3.2092005329315274,15269.38224224517,388.426,2614.46,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,40174.91253793191
