Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-01-2050 00:00:00,28576.028233074336,0.5787942624386144,0.0,360.655,2980.574,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,32043.36914451595
01-01-2050 01:00:00,27694.51031284686,0.6477537232616242,0.0,359.722,2668.203,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30842.294837467078
01-01-2050 02:00:00,25909.219997736007,0.5880127743342363,0.0,358.945,2382.2110000000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,28762.633962360353
01-01-2050 03:00:00,24756.87164322989,0.6637353501789416,0.0,351.918,1690.844,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,26905.524705971588
01-01-2050 04:00:00,23561.877252638544,0.5672970792090946,0.0,347.05800000000005,1556.983,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25559.5464776348
01-01-2050 05:00:00,23126.052411081677,1.0302061904667774,0.0,342.25199999999995,1510.068,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25063.094730687382
01-01-2050 06:00:00,23118.106188933358,3.2401450617717944,0.0,332.608,1620.918,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25159.517015906924
01-01-2050 07:00:00,23255.404489970526,30.912774452247902,0.0,334.849,1886.1860000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25593.401224581856
01-01-2050 08:00:00,22463.437316013453,622.2756631948477,0.0,340.591,1845.0520000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25358.063580515027
01-01-2050 09:00:00,13520.524621282133,9708.606997858604,0.0,345.786,2272.038,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25945.979822819456
01-01-2050 10:00:00,13378.70972614594,27691.534936643522,0.0,350.131,2855.164,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,28007.28524600216
01-01-2050 11:00:00,17103.228128246712,46971.795965744575,0.0,351.224,2671.7490000000003,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,29747.696519682086
01-01-2050 12:00:00,18096.650216079248,53104.17285593866,0.0,359.525,2317.032,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,30551.440345954597
01-01-2050 13:00:00,18360.231610587005,53893.601419044804,0.0,358.81800000000004,2386.863,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,31304.525093585227
01-01-2050 14:00:00,18481.929794509706,51029.0797683837,0.0,357.754,2110.927,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,31348.326379156508
01-01-2050 15:00:00,16977.325680727055,42954.47186009299,0.0,353.825,2226.147,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,29889.21798278342
01-01-2050 16:00:00,16058.818319439868,26501.30042278766,0.0,352.785,2233.482,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-12200.0,29290.768173497796
01-01-2050 17:00:00,17028.464156399197,5984.829400349051,0.0,356.82300000000004,2710.329,2482.1851342049413,0.0,0,0.0,0.0,0.0,0.0,0,0.0,29743.944142341585
01-01-2050 18:00:00,17428.401654504185,27.841983001919463,0.0,359.08,3963.0229999999997,10000.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,33268.82636300795
01-01-2050 19:00:00,18365.23882667714,2.7234836955148634,0.0,360.93800000000005,5392.28,10000.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,35530.83713865099
01-01-2050 20:00:00,19602.120417732775,1.4571505122499908,0.0,361.577,6117.535,7197.814865795059,0.0,0,0.0,0.0,0.0,0.0,0,0.0,36710.19298412847
01-01-2050 21:00:00,21238.24758458991,0.7979633757559472,0.0,358.969,6160.27,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,37455.55626478398
01-01-2050 22:00:00,22057.156850833853,0.7632693159404714,0.0,354.642,5534.178000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,36761.289059539115
01-01-2050 23:00:00,22135.73487909589,0.7806163458482094,951.5149072127242,350.73699999999997,3994.373,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,33930.0334330506
02-01-2050 00:00:00,21128.712439934705,0.7806163458482094,5782.655273087905,345.80800000000005,3392.745,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,30759.79730941249
02-01-2050 01:00:00,19356.32783279408,0.7806163458482094,5632.072438369603,356.369,2194.656,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,27639.0100889867
02-01-2050 02:00:00,18918.962463420696,0.7112282262172572,4783.597067444334,351.348,1686.006,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25833.32396099452
02-01-2050 03:00:00,17738.158612387702,1.0234747645565412,5124.910129371452,347.76599999999996,1545.79,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,24847.84266471631
02-01-2050 04:00:00,18443.336353339535,0.971433674833327,4231.840519807978,342.53,1392.8629999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,24501.4352070425
02-01-2050 05:00:00,19576.122077847947,1.1275569440029691,3692.924493110364,355.88,1436.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,25154.33973538758
02-01-2050 06:00:00,19735.334681218512,4.163287177857116,5556.239537802965,342.67699999999996,1812.4389999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,27552.376769532904
02-01-2050 07:00:00,20667.168230067156,33.878749409812286,7754.873130888551,353.093,2193.206,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,31118.22237668183
02-01-2050 08:00:00,19436.93678115062,758.4468416261202,10452.58099540653,358.809,3785.973,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,34923.17745377733
02-01-2050 09:00:00,17688.192852712556,14615.323720046854,860.8701421389887,356.58099999999996,4829.312,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,38497.54509328062
02-01-2050 10:00:00,10110.391782176357,24771.40169183753,0.0,362.139,5313.535,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,40790.85690359986
02-01-2050 11:00:00,6667.003069244306,27732.514510511894,0.0,358.972,5381.706,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,40847.069532458416
