month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Thermal (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.2249606413272462,26.863487728775638,5.014246345671584,0.29615193683934204,2.1948430929518046,0.4138344756975208,0.07032305041103867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7822988949998724,0
2,3.5877205394555016,23.203602373555174,11.293910869223831,0.3015549999760582,2.3890908534928204,0.6573996043834693,0.09240206120179789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.265115083050825,0
3,4.470758697455083,39.67690153373414,11.962146973925561,0.27141260889230834,4.4023644028676925,0.05951239035219425,0.011299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.685822490943668,0
4,5.05506557735428,22.266724947780585,16.683345229135067,0.23789534185361258,4.718400483856086,0.5809128675355288,0.06699491081982563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.336118456224766,0
5,5.500197206069716,15.567299597561535,24.47209745505482,0.2916666870779689,3.5230999305233914,1.3565617649463997,0.14953054248775038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7855098984879656,0
6,5.274128043530787,11.356560338128169,28.268905019648397,0.30499332318636324,3.718032184755912,2.0000031120213984,0.16032359533490262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6244911924781165,0
7,5.591246626416484,9.14790327053482,44.00627881742913,0.3243793888711321,3.0273863106613397,3.546927805480063,0.24146037958503686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.123127030040191,0
8,5.244556095794588,13.41371752817325,35.28892557992921,0.31752930969607074,2.105587826808821,2.457393323061453,0.21067175377465686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.223440324146555,0
9,4.009577290792529,10.436091123402996,23.93909610306392,0.32033504378171523,1.9268267481345125,2.2325049702788218,0.26040071240772167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6399896004579837,0
10,3.936247382366083,21.27191867959196,15.176506580234781,0.29773732826195853,1.462667744678588,0.9267572403774766,0.1278240623567271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.543917276370604,0
11,2.709730341295224,22.891678401355154,3.898060495155403,0.2933198425317468,2.1620009657595243,0.37794589203789175,0.06775529021708641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2703189707012315,0
12,3.1411817401650737,21.79955168781578,6.045021678296362,0.300199110704128,2.486663765611238,0.46470714721178813,0.06958745721336511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7547746946150173,0
