Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-11-2050 00:00:00,12007.129825048376,0.8317870160628651,544.2428395588963,363.45300000000003,2760.107,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32789.66295063784
01-11-2050 01:00:00,12907.090603388171,1.2716743803268802,534.9419232463364,361.94599999999997,2262.555,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,30622.77234405925
01-11-2050 02:00:00,13353.11176548676,1.5835945113504548,545.5238040809854,359.029,1500.771,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28699.629931178286
01-11-2050 03:00:00,14150.75887065961,1.8155351215987534,547.361709699635,364.119,1407.3770000000002,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27892.387796566807
01-11-2050 04:00:00,15476.763534633608,2.0954634443122178,548.0300390155076,363.332,1334.379,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27399.95133358421
01-11-2050 05:00:00,16114.369883301766,2.3993856232582647,535.3317820139287,360.291,1310.476,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27366.002683699513
01-11-2050 06:00:00,17694.613855316275,3.6630620515076173,569.4722712330857,346.467,1236.859,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27729.223363967565
01-11-2050 07:00:00,18909.273668032565,79.13173785505758,531.2104178993811,345.5,1162.589,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28384.51614022357
01-11-2050 08:00:00,17405.227996895035,4421.811769198501,680.7491023258685,344.22,1419.055,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,29632.443985563194
01-11-2050 09:00:00,15357.225929841417,12708.641877814269,2612.276519307252,354.366,2373.4139999999998,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32176.81361151797
01-11-2050 10:00:00,15202.355458100434,18032.73461268696,13732.775088439916,349.19699999999995,2983.1490000000003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34030.36054920803
01-11-2050 11:00:00,17187.97770307498,22112.066075973653,29976.184946064797,349.45099999999996,2499.8360000000002,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34560.70820173038
01-11-2050 12:00:00,18813.413793764874,23489.85728446517,43635.276727429766,353.13699999999994,1979.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34274.41099701593
01-11-2050 13:00:00,20743.995019257884,22438.326535072236,53731.839090535985,351.705,1516.3229999999999,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34368.33773257546
