Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-04-2050 00:00:00,28469.55458386988,0.8797747285280302,17495.42458151467,338.474,5923.387,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,31011.80818424112
01-04-2050 01:00:00,29289.652835494166,6.670292032657975,12064.914725392126,325.474,4888.287,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,28492.192114177706
01-04-2050 02:00:00,29243.606765881825,1.0637276263111635,8926.607340383576,325.69599999999997,4722.462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,26691.059871147332
01-04-2050 03:00:00,29174.555775574107,6.134429243463628,6203.633208723972,323.27099999999996,4652.835999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,25611.46957856055
01-04-2050 04:00:00,28545.10077675864,0.7678033994426444,5139.485855525825,315.494,4467.273,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,25148.160167230268
01-04-2050 05:00:00,26428.834389351345,6.166421051773738,5114.523755578091,314.191,4736.149,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,25059.194622034207
01-04-2050 06:00:00,25541.429277514813,4.830763054826637,3084.9747056020424,313.876,4901.278,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,25592.698933589065
01-04-2050 07:00:00,26191.61199452713,57.12937168977926,488.31481464230455,312.758,5167.446,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-6016.486034621179,26295.56330048188
01-04-2050 08:00:00,27126.351865571756,1981.756559626008,500.996363410959,313.259,5705.946,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,26927.76550497453
01-04-2050 09:00:00,26914.32361111765,9489.378189136572,1213.2683318022173,319.717,5751.51,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,29420.90951097763
01-04-2050 10:00:00,27304.558487462462,16678.361407878445,30976.211670815945,317.347,5524.613,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,31396.022426190662
01-04-2050 11:00:00,26964.67048817607,21356.09964560575,67934.10438455455,308.532,5611.793000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-8000.0,32364.90833850513
