Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-11-2050 00:00:00,12007.129825048376,0.8317870160628651,17555.854378644726,363.45300000000003,2760.107,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32789.66295063784
01-11-2050 01:00:00,12907.090603388171,1.2716743803268802,14995.276866286104,361.94599999999997,2262.555,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,30622.77234405925
01-11-2050 02:00:00,13353.11176548676,1.5835945113504548,13394.93287093371,359.029,1500.771,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28699.629931178286
01-11-2050 03:00:00,14150.75887065961,1.8155351215987534,11880.269046460438,364.119,1407.3770000000002,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27892.387796566807
01-11-2050 04:00:00,15476.763534633608,2.0954634443122178,10135.819437142558,363.332,1334.379,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27399.95133358421
01-11-2050 05:00:00,16114.369883301766,2.3993856232582647,9489.989521188534,360.291,1310.476,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27366.002683699513
01-11-2050 06:00:00,17694.613855316275,3.6630620515076173,8354.295539089002,346.467,1236.859,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,27729.223363967565
01-11-2050 07:00:00,18909.273668032565,79.13173785505758,7791.024440587498,345.5,1162.589,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,28384.51614022357
01-11-2050 08:00:00,17405.227996895035,4421.811769198501,5930.08910137611,344.22,1419.055,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,29632.443985563194
01-11-2050 09:00:00,15357.225929841417,12708.641877814269,1224.2329647230035,354.366,2373.4139999999998,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,32176.81361151797
01-11-2050 10:00:00,13874.619978890538,16457.80093886057,0.0,349.19699999999995,2983.1490000000003,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34030.36054920803
01-11-2050 11:00:00,13580.789413793062,17471.474426450484,0.0,349.45099999999996,2499.8360000000002,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34560.70820173038
01-11-2050 12:00:00,13802.502628225651,17233.3857352847,0.0,353.13699999999994,1979.5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34274.41099701593
01-11-2050 13:00:00,15089.111090393031,16321.562045107512,0.0,351.705,1516.3229999999999,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34368.33773257546
01-11-2050 14:00:00,16068.658213497187,15020.58916933967,0.0,354.17400000000004,1348.844,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,34158.96634950082
01-11-2050 15:00:00,16168.155294409811,10669.929236506925,13394.143998928135,357.80199999999996,1337.9460000000001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,-8000.0,32693.983297644554
01-11-2050 16:00:00,22773.11693910443,9205.604059420446,71209.50282048155,357.216,1297.958,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,-8000.0,31707.228810516903
