Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumped hydropower (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-12-2050 00:00:00,44431.80353196151,1.301027243080349,743.4194067734265,424.67400000000004,2479.515,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,34110.79767991657
01-12-2050 01:00:00,46018.04822608744,1.4051094225267766,725.0323964608256,423.124,2500.624,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,31610.67328532829
01-12-2050 02:00:00,47064.4205429156,2.1163376487440337,757.5747833480968,423.10900000000004,2229.817,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,29771.456242376607
01-12-2050 03:00:00,46008.23318007867,2.4632782468987933,734.8063469528599,428.837,2289.584,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,28862.29973059581
01-12-2050 04:00:00,47384.07583375181,3.105118353485099,707.8437249058688,435.99300000000005,2279.985,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,28470.38328752871
01-12-2050 05:00:00,49462.546366554656,4.909209463889851,722.1114457390682,435.06699999999995,2170.5460000000003,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,28448.48100844461
01-12-2050 06:00:00,48195.57896867321,5.256150062044609,718.9283584140762,440.466,2356.6620000000003,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,29199.27591716859
01-12-2050 07:00:00,47431.55579848479,21.007253218270694,718.2168447767251,440.082,2297.0679999999998,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,31039.037643141743
01-12-2050 08:00:00,48772.9753175593,1308.4517718808609,732.8590464716883,445.42400000000004,2364.8779999999997,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,33038.847026147676
01-12-2050 09:00:00,47529.1488767168,12448.558255361024,1033.3799380371097,442.99800000000005,3774.941,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,36287.05542681256
01-12-2050 10:00:00,45914.91336273951,28043.17385478941,3875.577334565558,439.73400000000004,3858.711,0.0,0.0,0,0,0.0,0.0,0.0,0,-12200.0,38262.900711946066
